Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At
spotify:track:5vB0cxSvzXuVh15EDD0Cej,Anthem,spotify:artist:6SiyKSeJo6gcsS2NvuAbsl,zebrahead,spotify:album:0mXXYSxmO3mHdTBrlgOFmZ,Broadcast to the World,spotify:artist:6SiyKSeJo6gcsS2NvuAbsl,zebrahead,2006,https://i.scdn.co/image/ab67616d0000b2737ee2be5c0cbbda05a5411644,1,3,213133,https://p.scdn.co/mp3-preview/0476ed43baf4d594fadfc6dc4a50ba9ac0b7f77c?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,53,USTCZ0979587,spotify:user:jivedonut,2022-12-25T22:46:51Z
spotify:track:0hDQV9X1Da5JrwhK8gu86p,Maps,spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,Yeah Yeah Yeahs,spotify:album:44ePwTuWK88vnalqutqJEG,Fever To Tell (Deluxe Remastered),spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,Yeah Yeah Yeahs,4/29/03,https://i.scdn.co/image/ab67616d0000b2731b1cb4ef0f096f9d66fc3dc6,1,9,219986,https://p.scdn.co/mp3-preview/2cc795979153d2f154e8f74c7ae67f810c80a7a6?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,71,USIR10300259,spotify:user:jivedonut,2023-01-08T23:30:56Z
spotify:track:39eEVHdCHNTmfg1KzEDxvK,Mayor Of Simpleton - 2001 Remaster,spotify:artist:2qT62DYO8Ajb276vUJmvhz,XTC,spotify:album:3suXBde2fATz1UzA6f7UoA,Oranges & Lemons,spotify:artist:2qT62DYO8Ajb276vUJmvhz,XTC,1989,https://i.scdn.co/image/ab67616d0000b2735ff8da616a8e9d1243b106fd,1,2,238050,https://p.scdn.co/mp3-preview/2f83ddf9e51209e14e203d7f96b86df452eafe44?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,46,GBAAA0001106,spotify:user:jivedonut,2022-12-25T22:52:17Z
spotify:track:2XHjFJVXYlEzoDvN82h8s5,Rocky Mountain Way,spotify:artist:5bDxAyJiTYBat1YnFJhvEK,Joe Walsh,spotify:album:6Sdkho6t0ure9XTzZXM2CK,"The Smoker You Drink, The Player You Get",spotify:artist:5bDxAyJiTYBat1YnFJhvEK,Joe Walsh,6/18/73,https://i.scdn.co/image/ab67616d0000b2732df4d3c8c429700194bc0dfe,1,1,315400,https://p.scdn.co/mp3-preview/0cad997484fdb994d28081317d3bfdb81ab6a1bf?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,65,USMC17344516,spotify:user:jivedonut,2023-06-28T12:36:35Z
spotify:track:3cMliO9emUSa4d1Ap2MbfW,Volcano Girls,spotify:artist:2QwJQuBekTA4qF7N7uLHDP,Veruca Salt,spotify:album:5ZqOSlcQ0fA7MZOgvpOJT5,Eight Arms To Hold You,spotify:artist:2QwJQuBekTA4qF7N7uLHDP,Veruca Salt,1/1/97,https://i.scdn.co/image/ab67616d0000b27380d0a4548d430c84888ef1cc,1,2,198933,https://p.scdn.co/mp3-preview/b5e1a26b4aed44bdbf9aa7c47af503b3d780d9bc?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,58,USOU19600101,spotify:user:jivedonut,2022-12-25T23:04:20Z
spotify:track:2AnTuxahfcAS7dGxGZnihY,Cantaloop (Flip Fantasia),"spotify:artist:4LtIfuFeAamus9OOItuWDD, spotify:artist:2cNCyL3WSlAatld5duatyD, spotify:artist:5A8UenAZRv51yZVv13nFQo","Us3, Rahsaan, Gerard Presencer",spotify:album:3lOv4MWFZGIJmHdyMXtlB5,Hand On The Torch,spotify:artist:4LtIfuFeAamus9OOItuWDD,Us3,1/1/93,https://i.scdn.co/image/ab67616d0000b273463e705f8cca3c5c5dcc208e,1,1,279360,https://p.scdn.co/mp3-preview/3bec1494568f1732c385ca7cc2f720c779ca5b02?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,51,USBN29300054,spotify:user:jivedonut,2022-12-25T23:12:11Z
spotify:track:6pmuu4qSz2WrtGkBjUfyuz,Birdhouse in Your Soul,spotify:artist:6zB02lwP6L6ZH32nggQiJT,They Might Be Giants,spotify:album:7FwAtuhhWivxvK4aPgyyUD,Flood,spotify:artist:6zB02lwP6L6ZH32nggQiJT,They Might Be Giants,1/2/90,https://i.scdn.co/image/ab67616d0000b2737bf5a21b4cf1d79d08397539,1,2,198920,https://p.scdn.co/mp3-preview/d97d6d040bdb1c9782c100924a26f84c84ecc9a2?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,62,USEE10181578,spotify:user:jivedonut,2023-02-02T01:18:30Z
spotify:track:15WWh0s2lB6kYryjjvNxTh,If I Can't Change Your Mind,spotify:artist:4DD6xBZ1INIT3yGJRQLzej,Sugar,spotify:album:4CWgGsxF6Xgiv2W1WwZSsI,Copper Blue (Deluxe Remaster),spotify:artist:4DD6xBZ1INIT3yGJRQLzej,Sugar,9/4/92,https://i.scdn.co/image/ab67616d0000b273304538c67d245768577837c2,1,7,198933,https://p.scdn.co/mp3-preview/0075df62ca5bfbbeada3c6729754c82a82e749e9?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,40,USMRG1245107,spotify:user:jivedonut,2022-12-28T20:08:33Z
spotify:track:4OSbctVD37ycS0H3rwRm72,Prayer Of The Refugee,spotify:artist:6Wr3hh341P84m3EI8qdn9O,Rise Against,spotify:album:1VZ0i4vJ0AkPbmpuaktZMJ,The Sufferer & The Witness,spotify:artist:6Wr3hh341P84m3EI8qdn9O,Rise Against,1/1/06,https://i.scdn.co/image/ab67616d0000b27390fef039e01409cb5a8d560c,1,6,199386,https://p.scdn.co/mp3-preview/cea007c11b5c52d5053088770a81587f84c44914?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,71,USUM70603971,spotify:user:jivedonut,2023-06-28T12:36:48Z
spotify:track:76eqlAukVuAvxovEbCK3uh,Ladies First,"spotify:artist:5m7wCUhYhBh7A3A3YMxrbt, spotify:artist:7dupCiguCFkYZRisA3foPu","Queen Latifah, Monie Love",spotify:album:6Agl4DVuihiDPuxuN1L8Jv,All Hail the Queen,spotify:artist:5m7wCUhYhBh7A3A3YMxrbt,Queen Latifah,11/7/89,https://i.scdn.co/image/ab67616d0000b273683be10830a0928ba6c58aee,1,7,238693,https://p.scdn.co/mp3-preview/4fdabbfeb45b54c3d1ebf93707a311562966c981?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,41,USTB10250018,spotify:user:jivedonut,2023-02-18T16:08:22Z
